ts,event,symbol,detail
1755209597427,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209598314,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209598314,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209599027,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209599027,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209599827,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209599827,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209600629,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209600629,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209601428,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209601428,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209602229,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209602231,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209603038,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209603038,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209603832,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209603832,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209604632,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209604632,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209605650,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209605650,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209606233,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209606234,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209607038,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209607038,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209607838,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209607838,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209608639,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209608643,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209609438,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209609441,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209610240,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
